gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
11,4.050044303325521,0.1823215567939546,1.791759469228055,0.6931471805599453,0.2468600779315258,0.03922071315328133,0.2776317365982794,0.8993480111438431,1.2237754316221157,2,1,0,0,0,1
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,1,0
10,2.9444389791664403,0.1823215567939546,2.128231705849268,0.1823215567939546,0.03729578474369693,0.025667746748577813,0.0620353909194527,0.22793206804600694,1.1631508098056809,3,0,0,1,0,0
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,1,0,1,0,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,0,1,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,1,0,0
7,4.4355674016019115,0.47000362924573563,2.4849066497880004,0.6931471805599453,0.26696903085423934,0.21672298351128702,0.4369637751675354,0.6270073780554004,1.3862943611198906,2,0,0,0,1,0
9,4.51085950651685,0.3364722366212129,3.1612467120315646,0.6931471805599453,0.0,0.0,0.0,0.8011043220650377,1.7578579175523736,3,0,1,0,0,0
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,1,0,0,0
5,3.6699514442284173,0.22314355131420976,2.7568403652716422,0.4054651081081644,0.0769610411361284,0.17395330712343798,0.23901690047049992,0.7068035070074309,1.791759469228055,2,1,0,0,1,0
