player_id,first_name,last_name,team name,oppenent team name,total points predicted
1,Folarin,Balogun,Arsenal,Burnley,0.579
2,Cédric,Alves Soares,Arsenal,Burnley,1.441
3,Mohamed,Elneny,Arsenal,Burnley,0.616
4,Fábio,Ferreira Vieira,Arsenal,Burnley,1.425
5,Gabriel,dos Santos Magalhães,Arsenal,Burnley,2.214
6,Kai,Havertz,Arsenal,Burnley,1.713
7,Rob,Holding,Crystal Palace,Everton,1.441
8,Gabriel,Fernando de Jesus,Arsenal,Burnley,1.364
9,Jorge Luiz,Frello Filho,Arsenal,Burnley,1.422
10,Jakub,Kiwior,Arsenal,Burnley,0.833
11,Marcus,Oliveira Alencar,Arsenal,Burnley,0.635
12,Gabriel,Martinelli Silva,Arsenal,Burnley,2.008
13,Eddie,Nketiah,Arsenal,Burnley,2.071
14,Martin,Ødegaard,Arsenal,Burnley,1.726
15,Thomas,Partey,Arsenal,Burnley,0.799
16,Nicolas,Pépé,Arsenal,Burnley,0.635
17,Aaron,Ramsdale,Arsenal,Burnley,0.506
18,Rúnar Alex,Rúnarsson,Arsenal,Burnley,0.506
19,Bukayo,Saka,Arsenal,Burnley,2.299
20,William,Saliba,Arsenal,Burnley,2.341
21,Albert,Sambi Lokonga,Luton,Man Utd,0.389
22,Emile,Smith Rowe,Arsenal,Burnley,1.37
23,Nuno,Varela Tavares,Nott'm Forest,West Ham,0.364
24,Kieran,Tierney,Arsenal,Burnley,1.441
25,Takehiro,Tomiyasu,Arsenal,Burnley,1.147
26,Leandro,Trossard,Arsenal,Burnley,1.197
27,Auston,Trusty,Sheffield Utd,Brighton,1.147
28,Matt,Turner,Nott'm Forest,West Ham,1.533
29,Benjamin,White,Arsenal,Burnley,3.118
30,Granit,Xhaka,Arsenal,Burnley,0.635
31,Oleksandr,Zinchenko,Arsenal,Burnley,1.67
32,Alexandre,Moreno Lopera,Aston Villa,Fulham,1.441
33,Cameron,Archer,Sheffield Utd,Brighton,1.225
34,Leon,Bailey,Aston Villa,Fulham,1.067
35,Emiliano,Buendía Stati,Aston Villa,Fulham,0.635
36,Matty,Cash,Aston Villa,Fulham,1.546
37,Calum,Chambers,Aston Villa,Fulham,1.441
38,Philippe,Coutinho Correia,Aston Villa,Fulham,0.635
39,Keinan,Davis,Aston Villa,Fulham,0.579
40,Leander,Dendoncker,Aston Villa,Fulham,0.761
41,Diego Carlos,Santos Silva,Aston Villa,Fulham,0.973
42,Lucas,Digne,Aston Villa,Fulham,1.483
43,Douglas Luiz,Soares de Paulo,Aston Villa,Fulham,3.397
44,Jhon,Durán,Aston Villa,Fulham,0.644
45,Kortney,Hause,Aston Villa,Fulham,1.441
46,Tim,Iroegbunam,Aston Villa,Fulham,0.635
47,Boubacar,Kamara,Aston Villa,Fulham,1.561
48,Ezri,Konsa Ngoyo,Aston Villa,Fulham,1.747
49,Emiliano,Martínez Romero,Aston Villa,Fulham,1.845
50,John,McGinn,Aston Villa,Fulham,1.775
51,Tyrone,Mings,Aston Villa,Fulham,1.441
52,Marvelous,Nakamba,Luton,Man Utd,1.065
53,Robin,Olsen,Aston Villa,Fulham,0.506
54,Jaden,Philogene-Bidace,Aston Villa,Fulham,0.635
55,Jacob,Ramsey,Aston Villa,Fulham,0.772
56,Morgan,Sanson,Aston Villa,Fulham,0.635
57,Viljami,Sinisalo,Aston Villa,Fulham,0.506
58,Youri,Tielemans,Aston Villa,Fulham,0.911
59,Bertrand,Traoré,Aston Villa,Fulham,0.761
60,Ollie,Watkins,Aston Villa,Fulham,2.805
61,Wesley,Moraes Ferreira da Silva,Aston Villa,Fulham,0.579
62,Jaidon,Anthony,Bournemouth,Newcastle,0.364
63,Philip,Billing,Bournemouth,Newcastle,1.067
64,David,Brooks,Bournemouth,Newcastle,0.568
65,Ryan,Christie,Bournemouth,Newcastle,1.317
66,Lewis,Cook,Bournemouth,Newcastle,0.543
67,Siriki,Dembélé,Bournemouth,Newcastle,0.364
68,Ryan,Fredericks,Bournemouth,Newcastle,0.493
69,James,Hill,Bournemouth,Newcastle,0.493
70,Lloyd,Kelly,Bournemouth,Newcastle,1.049
71,Gavin,Kilkenny,Bournemouth,Newcastle,0.364
72,Justin,Kluivert,Bournemouth,Newcastle,0.758
73,Jamal,Lowe,Bournemouth,Newcastle,0.364
74,Emiliano,Marcondes,Bournemouth,Newcastle,0.364
75,Chris,Mepham,Bournemouth,Newcastle,0.767
76,Kieffer,Moore,Bournemouth,Newcastle,1.094
77,Norberto,Murara Neto,Bournemouth,Newcastle,1.144
78,Dango,Ouattara,Bournemouth,Newcastle,0.997
